"","BankDefaultIndex","Name","regnum","DefaultType","DefaultDate","BankLocalization"
"318","318","Бинбанк Сургут","1701","ликв.","17.06.2016","Сургут"
"319","319","Межрегиональный Банк Реконструкции","2620","отозв.","17.06.2016","Москва"
"320","320","Кедр","1574","ликв.","10.06.2016","Красноярск"
"321","321","КредитАльянс","3472-К","отозв.","08.06.2016","Вологда"
"322","322","Финансовый Стандарт","1053","отозв.","08.06.2016","Москва"
"323","323","Промрегионбанк","2123","отозв.","30.05.2016","Москва"
"324","324","Банк Развития Технологий","3441","отозв.","27.05.2016","Москва"
"325","325","ЕвроАксис Банк","3273","отозв.","27.05.2016","Москва"
"326","326","Верхневолжский","1084","ликв.","17.05.2016","Рыбинск"
"327","327","Динамичные Системы","3439","отозв.","12.05.2016","Москва"
"328","328","Век","2299","отозв.","12.05.2016","Москва"
"329","329","Мострансбанк","2258","отозв.","05.05.2016","Москва"
"330","330","Эл Банк","1025","отозв.","05.05.2016","Тольятти"
"331","331","Банк МБФИ","2073","отозв.","27.04.2016","Москва"
"332","332","Интерактивный Банк","3378","отозв.","26.04.2016","Москва"
"333","333","Инвестиционный Республиканский Банк","2571","ликв.","25.04.2016","Москва"
"334","334","Стелла-Банк","2948","отозв.","14.04.2016","Ростов-на-Дону"
"335","335","Пульс Столицы","3002","отозв.","13.04.2016","Москва"
"336","336","Океан Банк","1697","отозв.","13.04.2016","Москва"
"337","337","Кроссинвестбанк","2849","отозв.","11.04.2016","Москва"
"338","338","Майма","1037","отозв.","08.04.2016","Москва"
"339","339","ФИА-Банк","2542","отозв.","08.04.2016","Тольятти"
"340","340","Интеррасчет","1618-К","ликв.","08.04.2016","Москва"
"341","341","Соверен Банк","3206","отозв.","08.04.2016","Москва"
"342","342","Мосводоканалбанк","2863","отозв.","28.03.2016","Москва"
"343","343","Смартбанк","3408","отозв.","28.03.2016","Москва"
"344","344","Богородский","1277","отозв.","24.03.2016","Богородск"
"345","345","Мико-Банк","3195","отозв.","24.03.2016","Москва"
"346","346","СтарБанк","548","отозв.","18.03.2016","Москва"
"347","347","Екатерининский","2167","отозв.","17.03.2016","Москва"
"348","348","Национальный Корпоративный Банк","3422","отозв.","17.03.2016","Москва"
"349","349","1Банк","2896","отозв.","17.03.2016","Владикавказ"
"350","350","Росавтобанк","2767","отозв.","04.03.2016","Москва"
"351","351","Акция","927","отозв.","03.03.2016","Иваново"
"352","352","Банкирский Дом","2928","отозв.","03.03.2016","Санкт-Петербург"
"353","353","Расчетный Дом","3350","отозв.","26.02.2016","Москва"
"354","354","Милбанк","3256","отозв.","26.02.2016","Москва"
"355","355","Церих","3278","отозв.","26.02.2016","Орел"
"356","356","Капиталбанк","2547","отозв.","15.02.2016","Ростов-на-Дону"
"357","357","Унифин","2654","отозв.","15.02.2016","Москва"
"358","358","Альта-Банк","2269","отозв.","08.02.2016","Москва"
"359","359","Интеркоммерц Банк","1657","отозв.","08.02.2016","Москва"
"360","360","Миллениум Банк","3423","отозв.","05.02.2016","Москва"
"361","361","Регнум","3373","отозв.","05.02.2016","Москва"
"362","362","Международный Акционерный Банк","1987","отозв.","03.02.2016","Москва"
"363","363","Межтрастбанк","2493","отозв.","29.01.2016","Москва"
"364","364","Мираф-Банк","2244","отозв.","21.01.2016","Омск"
"365","365","Турбобанк","3203","отозв.","21.01.2016","Санкт-Петербург"
"366","366","Внешпромбанк","3261","отозв.","21.01.2016","Москва"
"367","367","Эргобанк","2856","отозв.","15.01.2016","Москва"
"368","368","Русстройбанк","3205","отозв.","18.12.2015","Москва"
"369","369","Ренессанс","1939","отозв.","14.12.2015","Москва"
"370","370","Дил-Банк","3384","отозв.","14.12.2015","Москва"
"371","371","Коммерческий Банк Развития","3364","отозв.","14.12.2015","Москва"
"372","372","Н-Банк","3493","ликв.","09.12.2015","Москва"
"373","373","Еврокредит","2957","отозв.","04.12.2015","Москва"
"374","374","ФДБ","3071","отозв.","04.12.2015","Москва"
"375","375","Нота-Банк","2913","отозв.","24.11.2015","Москва"
"376","376","Балтика","967","отозв.","24.11.2015","Москва"
